City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,77.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
2,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Hilo,US,84.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
13,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
20,Banda Aceh,ID,78.39,broken clouds,5.5577,95.3222,Sulthan Hotel International
21,Nishihara,JP,75.2,broken clouds,26.1842,127.7558,Minshuku Agaihama
24,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Butaritari,KI,83.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
27,Kralendijk,BQ,80.6,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
30,Biak,ID,78.73,overcast clouds,-0.9131,122.8766,Penginapan Kim
31,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,Pension Maro'i
34,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Atuona,PF,79.25,clear sky,-9.8,-139.0333,Villa Enata
37,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Kimbe,PG,84.4,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
43,Ko Samui,TH,84.18,light rain,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
55,Ipixuna,BR,78.8,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
56,Gizo,SB,83.35,overcast clouds,-8.103,156.8419,Imagination Island
60,Lorengau,PG,84.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
61,Acajutla,SV,89.6,few clouds,13.5928,-89.8275,asi es
64,Rio Branco,BR,77.0,few clouds,-9.9747,-67.81,João Paulo Hotel
67,Dingle,PH,79.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
73,San Patricio,US,75.2,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
75,Tuy Hoa,VN,76.42,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
77,Bandarbeyla,SO,82.94,overcast clouds,9.4942,50.8122,JABIR HOTEL
80,Virginia Beach,US,77.0,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
84,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Dicabisagan,PH,79.52,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
89,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
95,Cayenne,GF,79.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,Georgetown,MY,77.0,scattered clouds,5.4112,100.3354,Cititel Penang
97,Sulangan,PH,81.77,overcast clouds,11.1373,123.7228,Maia's Beach Resort
102,Tiarei,PF,86.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
103,Keti Bandar,PK,81.88,overcast clouds,24.1447,67.4497,Haji laloo memon house
104,Riyadh,SA,86.0,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
109,Thinadhoo,MV,83.08,scattered clouds,0.5333,72.9333,
110,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
112,Kirakira,SB,80.56,light rain,-10.4544,161.9205,SanBiz Lodge
118,Kupang,ID,77.9,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
120,Faanui,PF,80.29,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
124,Manokwari,ID,80.47,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
131,Sibolga,ID,75.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
133,Sainte-Rose,GP,78.8,clear sky,16.3324,-61.6979,Villa - Duzer
135,Ixtapa,MX,80.6,broken clouds,20.7,-105.2,Hotel Plaza Providencia
136,Labuhan,ID,77.77,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
139,Bambous Virieux,MU,78.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
140,Bela,IN,83.75,clear sky,25.9333,81.9833,Raj Bhawan
145,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
146,Kapaa,US,80.6,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
147,Hithadhoo,MV,83.82,overcast clouds,-0.6,73.0833,Scoop Guest House
155,Gurupi,BR,77.77,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
160,Hurghada,EG,84.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
161,Cotonou,BJ,84.2,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
174,Hambantota,LK,79.56,few clouds,6.1241,81.1185,Bungalow 63
177,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
181,Candolim,IN,82.47,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
182,Pak Phanang,TH,80.22,overcast clouds,8.3511,100.20200000000001,Green Park Inn Hotel
183,Port Moresby,PG,78.8,clear sky,-9.4431,147.1797,Lamana Hotel
189,Techiman,GH,78.42,broken clouds,7.5862,-1.9414,KONTINENTAL LODGE
190,Pilar,BR,78.8,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
191,Punta Cardon,VE,80.78,overcast clouds,11.6581,-70.215,Bambuda hotel
198,Alfredo Chaves,BR,77.0,clear sky,-20.635,-40.7497,Recanto do Sonhos
204,Helena,US,80.6,clear sky,46.5927,-112.0361,Holiday Inn Express & Suites Helena
209,Mecca,SA,83.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
