City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,54.0,79,0,1.01,clear sky
1,Victoria,HK,22.2855,114.1577,77.0,84,99,2.35,overcast clouds
2,Vaini,TO,-21.2,-175.2,78.8,89,75,12.66,broken clouds
3,Mataura,NZ,-46.1927,168.8643,50.0,85,84,4.0,broken clouds
4,Klaksvik,FO,62.2266,-6.589,35.6,93,90,9.71,overcast clouds
5,Nurlat,RU,54.4277,50.8051,48.42,56,72,16.8,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,42.8,93,90,3.44,light rain
7,Iqaluit,CA,63.7506,-68.5145,35.6,75,90,19.57,light snow
8,Qaqortoq,GL,60.7167,-46.0333,50.0,29,12,25.32,few clouds
9,Saskylakh,RU,71.9167,114.0833,30.45,92,100,6.62,overcast clouds
10,Hilo,US,19.7297,-155.09,84.2,54,1,13.8,clear sky
11,Busselton,AU,-33.65,115.3333,52.0,98,99,5.44,overcast clouds
12,Srednekolymsk,RU,67.45,153.6833,23.77,79,9,10.76,clear sky
13,Salalah,OM,17.0151,54.0924,82.4,78,20,1.14,few clouds
14,Jamestown,US,42.097,-79.2353,41.0,65,90,11.5,overcast clouds
15,Port Lincoln,AU,-34.7333,135.8667,69.39,41,100,15.97,overcast clouds
16,Gwanda,ZW,-20.9333,29.0,62.69,85,23,6.31,few clouds
17,Yueyang,CN,29.3333,113.0919,69.48,77,1,4.36,clear sky
18,Katsuura,JP,35.1333,140.3,66.0,77,20,5.75,few clouds
19,Kodiak,US,57.79,-152.4072,51.8,32,1,11.5,clear sky
20,Banda Aceh,ID,5.5577,95.3222,78.39,83,68,6.22,broken clouds
21,Nishihara,JP,26.1842,127.7558,75.2,88,75,10.36,broken clouds
22,Tezu,IN,27.9167,96.1667,74.07,55,100,3.02,overcast clouds
23,Saint George,US,37.1041,-113.5841,93.99,9,1,5.75,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,82.4,61,20,13.8,few clouds
25,Bluff,NZ,-46.6,168.3333,50.0,85,95,4.0,overcast clouds
26,Butaritari,KI,3.0707,172.7902,83.46,74,74,11.99,broken clouds
27,Kralendijk,BQ,12.15,-68.2667,80.6,78,20,12.66,few clouds
28,Aras,ES,42.5617,-2.356,48.99,76,90,8.05,overcast clouds
29,Puerto Ayacucho,VE,5.6639,-67.6236,74.93,88,96,2.01,moderate rain
30,Biak,ID,-0.9131,122.8766,78.73,77,85,2.68,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,78.78,78,91,20.4,overcast clouds
32,Chute-Aux-Outardes,CA,49.1168,-68.399,48.2,61,90,10.36,overcast clouds
33,Bure,ET,10.7,37.0667,61.39,77,94,3.42,light rain
34,Souillac,MU,-20.5167,57.5167,77.0,83,40,11.5,scattered clouds
35,Atuona,PF,-9.8,-139.0333,79.25,68,1,4.05,clear sky
36,Alfenas,BR,-21.4292,-45.9472,60.21,77,60,4.61,broken clouds
37,Avarua,CK,-21.2078,-159.775,80.6,74,40,6.91,scattered clouds
38,Kosh-Agach,RU,50.0,88.6667,41.52,68,69,3.09,broken clouds
39,Dikson,RU,73.5069,80.5464,7.03,96,88,9.69,overcast clouds
40,Kimbe,PG,-5.5502,150.1429,84.4,65,98,2.44,overcast clouds
41,Nikolskoye,RU,59.7035,30.7861,33.8,75,0,2.24,clear sky
42,Bredasdorp,ZA,-34.5322,20.0403,44.6,87,0,2.3,clear sky
43,Ko Samui,TH,9.5357,99.9357,84.18,70,80,8.68,light rain
44,Kaitangata,NZ,-46.2817,169.8464,53.01,66,72,8.01,broken clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,62.6,77,0,6.91,clear sky
46,Chokurdakh,RU,70.6333,147.9167,16.47,86,22,4.97,few clouds
47,Turmalina,BR,-17.2856,-42.73,63.01,85,92,4.12,overcast clouds
48,Thompson,CA,55.7435,-97.8558,35.6,80,90,5.75,overcast clouds
49,East London,ZA,-33.0153,27.9116,62.35,76,86,14.25,light rain
50,Bonavista,CA,48.6499,-53.1147,42.8,75,100,3.44,overcast clouds
51,Nanortalik,GL,60.1432,-45.2371,39.11,69,15,9.53,few clouds
52,Dunedin,NZ,-45.8742,170.5036,55.99,55,63,5.01,broken clouds
53,Voi,KE,-3.3945,38.563,71.15,89,45,5.99,scattered clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,72.52,65,30,10.67,scattered clouds
55,Ipixuna,BR,-1.7625,-48.8043,78.8,83,40,8.05,heavy intensity rain
56,Gizo,SB,-8.103,156.8419,83.35,72,88,6.93,overcast clouds
57,Plover,US,44.4564,-89.544,57.2,24,1,5.75,clear sky
58,Ribeira Grande,PT,38.5167,-28.7,60.19,76,98,9.13,overcast clouds
59,Ushuaia,AR,-54.8,-68.3,39.2,87,75,6.91,light snow
60,Lorengau,PG,-2.0226,147.2712,84.04,67,92,1.7,overcast clouds
61,Acajutla,SV,13.5928,-89.8275,89.6,45,20,6.91,few clouds
62,Yellowknife,CA,62.456,-114.3525,35.01,80,90,11.5,light snow
63,Aizawl,IN,23.7333,92.7167,60.73,92,4,2.08,clear sky
64,Rio Branco,BR,-9.9747,-67.81,77.0,83,20,2.3,few clouds
65,Yulara,AU,-25.2406,130.9889,59.0,38,93,5.75,overcast clouds
66,Provideniya,RU,64.3833,-173.3,29.97,63,99,3.98,overcast clouds
67,Dingle,PH,10.9995,122.6711,79.61,73,98,5.32,overcast clouds
68,Lusambo,CD,-4.9667,23.45,69.89,98,100,1.14,overcast clouds
69,Kamenka,RU,51.3223,42.7678,50.0,81,99,13.6,overcast clouds
70,Santa Lucia,ES,27.9117,-15.5407,66.2,59,40,10.36,scattered clouds
71,Kenitra,MA,34.261,-6.5802,51.8,100,40,3.44,scattered clouds
72,Portland,US,45.5234,-122.6762,68.0,52,90,8.05,overcast clouds
73,San Patricio,US,28.017,-97.5169,75.2,88,90,14.97,overcast clouds
74,Cherskiy,RU,68.75,161.3,15.39,84,84,1.39,broken clouds
75,Tuy Hoa,VN,13.0833,109.3,76.42,87,32,2.57,scattered clouds
76,Pevek,RU,69.7008,170.3133,18.73,83,100,15.14,overcast clouds
77,Bandarbeyla,SO,9.4942,50.8122,82.94,74,92,6.35,overcast clouds
78,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,87,93,8.52,overcast clouds
79,Florence,IT,43.7667,11.25,60.8,100,75,3.44,broken clouds
80,Virginia Beach,US,36.8529,-75.978,77.0,23,75,13.8,broken clouds
81,Hobart,AU,-42.8794,147.3294,55.0,76,75,6.91,broken clouds
82,Plettenberg Bay,ZA,-34.0527,23.3716,55.65,74,0,4.92,clear sky
83,Cape Town,ZA,-33.9258,18.4232,57.99,82,0,9.22,clear sky
84,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,40,5.75,light rain
85,Dicabisagan,PH,17.0818,122.4157,79.52,70,60,2.93,broken clouds
86,Waipawa,NZ,-41.4122,175.5153,57.0,67,90,18.41,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,59.97,83,29,14.09,scattered clouds
88,Khatanga,RU,71.9667,102.5,32.36,90,100,8.16,overcast clouds
89,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,12.66,few clouds
90,Yashiro,JP,34.9167,134.9667,59.0,77,75,11.5,broken clouds
91,Mnogovershinnyy,RU,53.9353,139.9242,30.13,89,100,3.83,light snow
92,Upernavik,GL,72.7868,-56.1549,28.98,80,100,5.1,overcast clouds
93,Vardo,NO,70.3705,31.1107,21.2,86,20,4.61,light snow
94,Yamethin,MM,20.4333,96.15,74.77,85,10,2.71,clear sky
95,Cayenne,GF,4.9333,-52.3333,79.0,100,0,10.63,clear sky
96,Georgetown,MY,5.4112,100.3354,77.0,94,40,4.61,scattered clouds
97,Sulangan,PH,11.1373,123.7228,81.77,76,97,7.31,overcast clouds
98,Tiksi,RU,71.6872,128.8694,30.76,85,98,3.96,overcast clouds
99,Ancud,CL,-41.8697,-73.8203,55.0,100,90,17.27,moderate rain
100,Ponta Do Sol,PT,32.6667,-17.1,59.0,57,84,1.99,broken clouds
101,Castro,BR,-24.7911,-50.0119,52.9,91,24,7.02,few clouds
102,Tiarei,PF,-17.5333,-149.3333,86.0,70,75,3.44,broken clouds
103,Keti Bandar,PK,24.1447,67.4497,81.88,80,100,10.38,overcast clouds
104,Riyadh,SA,24.6877,46.7219,86.0,14,0,5.75,clear sky
105,Amapa,BR,1.0,-52.0,72.0,98,99,2.8,overcast clouds
106,Bengkulu,ID,-3.8004,102.2655,74.64,88,95,4.94,overcast clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,20,10.36,few clouds
108,Yar-Sale,RU,66.8333,70.8333,15.46,95,89,9.78,overcast clouds
109,Thinadhoo,MV,0.5333,72.9333,83.08,71,45,4.23,scattered clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,86.0,26,1,12.66,clear sky
111,Kochki,RU,54.3358,80.4806,41.86,64,77,7.11,broken clouds
112,Kirakira,SB,-10.4544,161.9205,80.56,84,100,6.17,light rain
113,Naze,JP,28.3667,129.4833,71.6,83,75,23.02,broken clouds
114,Kamaishi,JP,39.2667,141.8833,50.0,76,20,3.44,few clouds
115,Coquimbo,CL,-29.9533,-71.3436,57.2,94,0,5.75,clear sky
116,Hohhot,CN,40.8106,111.6522,33.8,69,0,6.71,clear sky
117,Yen Bai,VN,21.7,104.8667,72.64,91,87,0.81,overcast clouds
118,Kupang,ID,-10.1667,123.5833,77.9,82,89,5.95,overcast clouds
119,Urengoy,RU,65.9667,78.3667,31.98,96,100,14.92,overcast clouds
120,Faanui,PF,-16.4833,-151.75,80.29,74,100,2.26,overcast clouds
121,Padang,ID,-0.9492,100.3543,75.2,94,40,2.3,scattered clouds
122,Flinders,AU,-34.5833,150.8552,66.0,88,1,1.01,clear sky
123,Derbent,RU,42.0678,48.2899,55.44,89,31,7.07,scattered clouds
124,Manokwari,ID,-0.8667,134.0833,80.47,73,82,2.13,broken clouds
125,Boyolangu,ID,-8.1181,111.8935,74.25,91,76,1.34,broken clouds
126,Grants,US,35.1473,-107.8514,73.4,12,1,4.61,clear sky
127,Port Augusta,AU,-32.5,137.7667,62.6,48,100,4.61,overcast clouds
128,Hervey Bay,AU,-25.2986,152.8535,66.0,95,98,10.0,light rain
129,Beitbridge,ZW,-22.2167,30.0,68.34,63,78,4.27,light rain
130,Bethel,US,41.3712,-73.414,59.0,31,40,14.97,scattered clouds
131,Sibolga,ID,1.7427,98.7792,75.83,85,99,3.33,overcast clouds
132,Dunda,TZ,-8.1167,34.25,62.51,95,60,2.24,broken clouds
133,Sainte-Rose,GP,16.3324,-61.6979,78.8,73,0,5.75,clear sky
134,Barrow,US,71.2906,-156.7887,21.2,79,90,5.75,overcast clouds
135,Ixtapa,MX,20.7,-105.2,80.6,74,75,13.8,broken clouds
136,Labuhan,ID,-6.8844,112.2051,77.77,87,91,5.91,overcast clouds
137,Walvis Bay,NA,-22.9575,14.5053,55.99,82,0,8.05,clear sky
138,Mezen,RU,65.8522,44.24,30.7,94,100,3.29,light snow
139,Bambous Virieux,MU,-20.3428,57.7575,78.01,83,40,12.66,scattered clouds
140,Bela,IN,25.9333,81.9833,83.75,29,3,7.38,clear sky
141,Albany,US,42.6001,-73.9662,50.0,64,69,17.76,broken clouds
142,Alem Paraiba,BR,-21.8878,-42.7044,65.8,89,69,2.42,broken clouds
143,Rabo De Peixe,PT,37.8,-25.5833,51.8,76,20,5.75,few clouds
144,Hamilton,US,39.1834,-84.5333,61.0,29,1,17.27,clear sky
145,Mahebourg,MU,-20.4081,57.7,77.0,83,40,11.5,scattered clouds
146,Kapaa,US,22.0752,-159.319,80.6,61,75,14.97,broken clouds
147,Hithadhoo,MV,-0.6,73.0833,83.82,72,89,6.58,overcast clouds
148,Nazarovo,RU,56.0064,90.3914,38.07,81,82,6.04,broken clouds
149,Mocuba,MZ,-16.8392,36.9856,70.79,98,7,3.33,clear sky
150,Parkes,AU,-33.1333,148.1833,63.34,57,0,5.59,clear sky
151,Deputatskiy,RU,69.3,139.9,22.93,93,95,3.29,overcast clouds
152,Ust-Tsilma,RU,65.441,52.1498,32.65,94,94,6.17,overcast clouds
153,Lavrentiya,RU,65.5833,-171.0,25.32,69,41,3.13,scattered clouds
154,Hoquiam,US,46.9809,-123.8893,57.99,88,90,11.5,overcast clouds
155,Gurupi,BR,-11.7292,-49.0686,77.77,68,100,5.5,overcast clouds
156,Joshimath,IN,30.5667,79.5667,53.6,63,41,7.74,scattered clouds
157,Ahipara,NZ,-35.1667,173.1667,66.0,63,68,12.62,broken clouds
158,Petawawa,CA,45.9001,-77.3328,35.6,75,90,16.11,snow
159,Cidreira,BR,-30.1811,-50.2056,68.92,71,0,15.84,clear sky
160,Hurghada,EG,27.2574,33.8129,84.2,14,0,12.66,clear sky
161,Cotonou,BJ,6.3654,2.4183,84.2,79,20,11.5,few clouds
162,Pangkalanbuun,ID,-2.6833,111.6167,74.07,97,100,1.92,light rain
163,Boralday,KZ,43.3578,76.8594,57.2,94,90,6.71,moderate rain
164,Kasongo-Lunda,CD,-6.4667,16.8167,70.75,97,100,0.67,moderate rain
165,Smithers,CA,54.7804,-127.1743,50.0,57,90,7.0,light rain
166,Pitsunda,GE,43.1592,40.3378,55.4,94,90,4.47,mist
167,Neryungri,RU,56.6709,124.6491,31.06,94,98,1.77,overcast clouds
168,Beringovskiy,RU,63.05,179.3167,24.26,75,84,12.88,broken clouds
169,Te Anau,NZ,-45.4167,167.7167,46.6,77,93,0.81,overcast clouds
170,Seymchan,RU,62.8833,152.4333,31.69,94,100,0.49,overcast clouds
171,Susaki,JP,33.3667,133.2833,53.6,94,75,4.61,light rain
172,New Norfolk,AU,-42.7826,147.0587,55.0,77,77,2.84,broken clouds
173,Qaanaaq,GL,77.484,-69.3632,30.87,65,97,6.67,overcast clouds
174,Hambantota,LK,6.1241,81.1185,79.56,80,24,3.87,few clouds
175,Pangnirtung,CA,66.1451,-65.7125,32.0,93,75,6.91,broken clouds
176,Pisco,PE,-13.7,-76.2167,68.0,77,0,17.27,clear sky
177,Kloulklubed,PW,7.0419,134.2556,84.2,79,75,11.5,broken clouds
178,Kushmurun,KZ,52.4503,64.6311,42.44,57,22,3.71,few clouds
179,Chongoyape,PE,-6.6406,-79.3892,69.8,73,90,18.41,overcast clouds
180,Yumaguzino,RU,52.9041,56.3933,41.34,78,47,4.7,scattered clouds
181,Candolim,IN,15.5181,73.7626,82.47,72,46,7.31,scattered clouds
182,Pak Phanang,TH,8.3511,100.202,80.22,79,96,3.49,overcast clouds
183,Port Moresby,PG,-9.4431,147.1797,78.8,83,1,3.44,clear sky
184,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.84,72,54,9.98,broken clouds
185,Utica,US,43.1009,-75.2327,44.6,65,90,27.63,overcast clouds
186,Yerbogachen,RU,61.2767,108.0108,35.29,85,100,8.59,overcast clouds
187,Torbay,CA,47.6666,-52.7314,39.0,87,90,13.8,overcast clouds
188,Bafoulabe,ML,13.8065,-10.8321,98.44,18,49,10.22,scattered clouds
189,Techiman,GH,7.5862,-1.9414,78.42,68,82,7.87,broken clouds
190,Pilar,BR,-9.5972,-35.9567,78.8,78,40,11.5,scattered clouds
191,Punta Cardon,VE,11.6581,-70.215,80.78,69,100,14.05,overcast clouds
