City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Udachnyy,66.4167,112.4,-4.77,100,94,2.04,RU,2021-04-20 20:19:16
1,Shingu,33.7333,135.9833,53.67,64,52,6.35,JP,2021-04-20 20:19:16
2,Ushuaia,-54.8,-68.3,50.0,57,0,4.97,AR,2021-04-20 20:19:16
3,Mataura,-46.1927,168.8643,51.01,83,8,4.0,NZ,2021-04-20 20:19:17
4,Saskylakh,71.9167,114.0833,-18.02,100,85,2.19,RU,2021-04-20 20:18:46
5,Moussoro,13.6408,16.4901,90.82,6,0,11.95,TD,2021-04-20 20:19:17
6,Kyren,51.6828,102.1408,26.42,93,100,5.28,RU,2021-04-20 20:19:17
7,Kapaa,22.0752,-159.319,77.0,78,75,6.91,US,2021-04-20 20:18:05
8,Elizabeth City,36.2946,-76.2511,73.99,43,1,12.66,US,2021-04-20 20:19:18
9,Ostrovnoy,68.0531,39.5131,35.06,69,0,22.64,RU,2021-04-20 20:19:18
10,Nikolskoye,59.7035,30.7861,48.2,34,0,8.95,RU,2021-04-20 20:19:19
11,Straumen,63.8709,11.2999,46.4,76,90,8.05,NO,2021-04-20 20:19:19
12,Kovernino,57.1253,43.8142,38.8,56,100,12.82,RU,2021-04-20 20:19:19
13,Okhotsk,59.3833,143.3,31.33,97,100,19.13,RU,2021-04-20 20:19:19
14,Hilo,19.7297,-155.09,80.6,57,75,11.5,US,2021-04-20 20:19:20
15,Morro Bay,35.3658,-120.8499,66.99,80,72,8.99,US,2021-04-20 20:19:20
16,Dudinka,69.4058,86.1778,-19.21,100,75,2.73,RU,2021-04-20 20:19:20
17,Pontianak,-0.0333,109.3333,75.2,100,1,2.3,ID,2021-04-20 20:19:21
18,Sokolo,14.7328,-6.1219,97.27,10,0,7.56,ML,2021-04-20 20:19:21
19,Broken Hill,-31.95,141.4333,44.6,76,0,5.75,AU,2021-04-20 20:19:21
20,Yellowknife,62.456,-114.3525,42.8,56,20,8.05,CA,2021-04-20 20:18:36
21,Strezhevoy,60.7333,77.5889,21.2,86,75,11.18,RU,2021-04-20 20:19:22
22,Atuona,-9.8,-139.0333,80.51,72,3,19.04,PF,2021-04-20 20:15:55
23,Saint-Philippe,-21.3585,55.7679,75.2,88,90,11.5,RE,2021-04-20 20:18:08
24,Khatanga,71.9667,102.5,-15.21,100,100,1.5,RU,2021-04-20 20:19:22
25,Ransang,8.9603,117.5828,78.89,84,100,8.05,PH,2021-04-20 20:19:23
26,Laguna,38.421,-121.4238,73.99,40,1,11.5,US,2021-04-20 20:19:23
27,Diffa,13.3154,12.6113,89.35,5,0,6.4,NE,2021-04-20 20:19:23
28,Rikitea,-23.1203,-134.9692,77.49,73,59,5.28,PF,2021-04-20 20:19:24
